"Salgspris"	"Dato"	"Kvadratmeterpris"	"AntalVarelser"	"Postnummer"	"Hustype"	"Kvadratmeter"	"Byggeaar"	"Prisreduktion"
2800000	2012-10-23	27722	4	2720	"Hus"	101	1947	0.990099009900991
1570000	2012-10-09	16526	6	2720	"Hus"	95	1928	0
1975000	2012-09-24	19750	4	2720	"Hus"	100	1921	13.7931034482759
3200000	2012-09-06	27826	5	2720	"Hus"	115	1929	0.990099009900991
2950000	2012-08-30	29207	3	2720	"Hus"	101	1927	7.40740740740742
2060000	2012-08-23	23678	4	2720	"Hus"	87	1933	5.66037735849058
3300000	2012-08-14	45205	3	2720	"Hus"	73	1936	4.76190476190477
3195000	2012-08-14	25766	4	2720	"Hus"	124	1938	0
2095000	2012-08-12	30808	3	2720	"Hus"	68	1925	0
5200000	2012-08-10	35374	5	2720	"Hus"	147	1974	4.76190476190477
5250000	2012-08-02	26785	9	2720	"Hus"	196	1910	7.40740740740742
4100000	2012-07-27	43617	3	2720	"Hus"	94	1938	1.96078431372549
3498000	2012-07-26	23795	6	2720	"Hus"	147	1936	0
3050000	2012-07-25	23828	6	2720	"Hus"	128	1924	12.280701754386
2350000	2012-07-23	16206	6	2720	"Hus"	145	1931	15.9663865546218
2948000	2012-07-19	25413	4	2720	"Hus"	116	1929	0.990099009900991
4200000	2012-07-16	34146	4	2720	"Hus"	123	1917	0
4190000	2012-07-04	20950	5	2720	"Hus"	200	1921	6.54205607476636
2800000	2012-06-26	23931	2	2720	"Hus"	117	1963	5.66037735849058
3250000	2012-06-25	24621	5	2720	"Hus"	132	1934	0
2200000	2012-06-18	26829	4	2720	"Hus"	82	1933	3.84615384615385
2550000	2012-06-15	31875	4	2720	"Hus"	80	1932	8.25688073394496
3250000	2012-06-15	29545	4	2720	"Hus"	110	1925	3.84615384615385
4475000	2012-06-14	31514	5	2720	"Hus"	142	1934	5.66037735849058
4e+06	2012-06-12	41237	5	2720	"Hus"	97	1955	0
2200000	2012-06-11	26829	4	2720	"Hus"	82	1932	8.25688073394496
3910000	2012-06-11	25894	6	2720	"Hus"	151	1924	0
4275000	2012-06-10	42326	3	2720	"Hus"	101	1952	4.76190476190477
2850000	2012-06-04	19655	8	2720	"Hus"	145	1895	9.90990990990992
3425000	2012-05-29	22096	5	2720	"Hus"	155	1934	1.96078431372549
3775000	2012-05-27	38131	4	2720	"Hus"	99	1934	4.76190476190477
4900000	2012-05-23	31612	6	2720	"Hus"	155	1939	5.66037735849058
2750000	2012-05-23	30555	4	2720	"Hus"	90	1925	7.40740740740742
3300000	2012-05-22	28947	4	2720	"Hus"	114	1934	4.76190476190477
2538000	2012-05-11	25897	4	2720	"Hus"	98	1934	5.66037735849058
3650000	2012-05-10	27651	5	2720	"Hus"	132	1927	2.9126213592233
3850000	2012-05-06	26551	5	2720	"Hus"	145	1921	7.40740740740742
4750000	2012-04-30	28787	5	2720	"Hus"	165	1936	4.76190476190477
480000	2012-04-30	2681	6	2720	"Hus"	179	1945	0
1550000	2012-04-27	16489	6	2720	"Hus"	94	1932	1.96078431372549
2675000	2012-04-26	22669	3	2720	"Hus"	118	1928	3.84615384615385
2300000	2012-04-24	27380	3	2720	"Hus"	84	1910	6.54205607476636
5150000	2012-04-24	34563	6	2720	"Hus"	149	1917	9.09090909090909
3e+06	2012-04-20	32967	3	2720	"Hus"	91	1934	7.40740740740742
3200000	2012-04-17	25806	4	2720	"Hus"	124	1967	1.96078431372549
1998000	2012-04-16	27750	3	2720	"Hus"	72	1934	0
3300000	2012-04-16	36666	4	2720	"Hus"	90	1938	11.5044247787611
2500000	2012-04-10	18656	4	2720	"Hus"	134	1920	0
3125000	2012-03-27	22321	5	2720	"Hus"	140	1929	6.54205607476636
3900000	2012-03-27	26712	5	2720	"Hus"	146	1952	0
2600000	2012-03-27	20800	6	2720	"Hus"	125	1935	6.54205607476636
4500000	2012-03-21	34351	5	2720	"Hus"	131	1927	9.09090909090909
3046575	2012-03-15	26491	4	2720	"Hus"	115	1979	5.66037735849058
4475000	2012-03-11	29440	5	2720	"Hus"	152	1928	6.54205607476636
3800000	2012-02-27	25850	4	2720	"Hus"	147	1967	4.76190476190477
6e+06	2012-02-15	30150	8	2720	"Hus"	199	1939	7.40740740740742
4100000	2012-02-15	29078	5	2720	"Hus"	141	1930	8.25688073394496
2850000	2012-02-09	29081	4	2720	"Hus"	98	1939	4.76190476190477
2900000	2012-02-02	30526	3	2720	"Hus"	95	1969	2.9126213592233
4500000	2012-01-31	30000	6	2720	"Hus"	150	1914	3.84615384615385
4200000	2012-01-31	26250	7	2720	"Hus"	160	1983	6.54205607476636
4050000	2012-01-31	23964	5	2720	"Hus"	169	1937	9.90990990990992
