"AntalVarelser"	"Udbudspris"	"NetPrMd"	"Kvadratmeter"	"KvadratmeterGrund"	"Byggeaar"	"Kvadratmeterpris"	"Postnummer"	"Hustype"	"FoerstUdbudt"	"SamletLiggetid"	"Solgt270"	"Solgt180"	"Solgt90"	"Solgt"
6	4995000	26280	164	570	1931	30457	2720	"Hus"	2011-01-02	66	TRUE	TRUE	TRUE	TRUE
4	1995000	11748	106	676	1931	18820	2610	"Hus"	2011-01-04	154	TRUE	TRUE	FALSE	TRUE
4	2495000	12504	91	400	1989	27417	2610	"Rakkehus"	2011-01-06	10	FALSE	FALSE	FALSE	FALSE
6	3240000	17437	150	495	1931	21600	2720	"Hus"	2011-01-07	139	FALSE	FALSE	FALSE	FALSE
5	4800000	23900	125	847	1937	38400	2610	"Hus"	2011-01-09	150	FALSE	FALSE	FALSE	FALSE
3	2875000	15901	95	721	1969	30263	2750	"Hus"	2011-01-09	44	TRUE	TRUE	TRUE	TRUE
3	2295000	12336	93	137	1996	24677	2750	"Hus"	2011-01-11	394	FALSE	FALSE	FALSE	FALSE
7	3650000	19093	170	600	1984	21470	2750	"Hus"	2011-01-13	286	FALSE	FALSE	FALSE	FALSE
3	2099000	11861	90	591	1960	23322	2610	"Hus"	2011-01-14	78	TRUE	TRUE	TRUE	TRUE
4	3495000	18015	115	740	1926	30391	2610	"Hus"	2011-01-14	167	FALSE	FALSE	FALSE	FALSE
4	2499000	14252	96	807	1924	26031	2610	"Hus"	2011-01-14	432	FALSE	FALSE	FALSE	TRUE
4	2495000	12840	102	797	1955	24460	2750	"Hus"	2011-01-14	424	FALSE	FALSE	FALSE	FALSE
6	2475000	13402	142	770	1938	17429	2750	"Hus"	2011-01-16	548	FALSE	FALSE	FALSE	TRUE
4	2498000	15085	82	773	1933	30463	2720	"Hus"	2011-01-18	181	TRUE	FALSE	FALSE	TRUE
5	3398000	18989	114	519	1955	29807	2720	"Hus"	2011-01-20	14	TRUE	TRUE	TRUE	TRUE
4	5595000	29018	149	480	1936	37550	2720	"Hus"	2011-01-22	73	TRUE	TRUE	TRUE	TRUE
6	3695000	17973	175	920	1937	21114	2610	"Hus"	2011-01-22	107	FALSE	FALSE	FALSE	FALSE
6	4975000	26582	161	810	1924	30900	2720	"Hus"	2011-01-26	121	TRUE	TRUE	FALSE	TRUE
7	1950000	12043	100	1040	1933	19500	2610	"Hus"	2011-01-27	15	TRUE	TRUE	TRUE	TRUE
6	2995000	16635	133	749	1936	22518	2610	"Hus"	2011-01-27	77	TRUE	TRUE	TRUE	TRUE
4	2295000	12506	110	800	1960	20863	2750	"Hus"	2011-01-27	270	TRUE	FALSE	FALSE	TRUE
4	2700000	14373	138	645	1965	19565	2750	"Hus"	2011-01-28	124	TRUE	TRUE	FALSE	TRUE
4	3395000	19950	97	799	1931	35000	2720	"Hus"	2011-01-29	14	TRUE	TRUE	TRUE	TRUE
5	2498000	13213	148	751	1959	16878	2610	"Hus"	2011-01-29	648	FALSE	FALSE	FALSE	FALSE
3	2095000	12028	85	631	1942	24647	2610	"Rakkehus"	2011-01-29	174	FALSE	FALSE	FALSE	FALSE
7	2500000	14169	201	650	1928	12437	2610	"Hus"	2011-01-30	40	FALSE	FALSE	FALSE	FALSE
4	2650000	13405	109	306	1970	24311	2610	"Hus"	2011-01-30	372	FALSE	FALSE	FALSE	TRUE
4	2850000	15273	132	708	1962	21590	2750	"Hus"	2011-01-30	381	FALSE	FALSE	FALSE	TRUE
5	2995000	16613	111	700	1952	26981	2610	"Hus"	2011-02-01	85	TRUE	TRUE	TRUE	TRUE
4	2995000	15997	131	605	1938	22862	2610	"Hus"	2011-02-01	260	FALSE	FALSE	FALSE	FALSE
3	5295000	27300	136	572	1925	38933	2720	"Hus"	2011-02-02	154	TRUE	TRUE	FALSE	TRUE
3	2695000	14127	73	703	1942	36917	2610	"Hus"	2011-02-03	41	FALSE	FALSE	FALSE	FALSE
4	3895000	20941	96	421	1923	40572	2720	"Hus"	2011-02-04	101	TRUE	TRUE	FALSE	TRUE
4	2100000	11962	99	894	1934	21212	2610	"Hus"	2011-02-04	4	FALSE	FALSE	FALSE	FALSE
6	2895000	16378	118	1141	1961	24533	2750	"Hus"	2011-02-04	94	TRUE	TRUE	FALSE	TRUE
6	3250000	17050	155	554	1928	20967	2720	"Hus"	2011-02-06	298	FALSE	FALSE	FALSE	FALSE
7	7900000	37606	148	594	2007	53378	2610	"Hus"	2011-02-06	140	FALSE	FALSE	FALSE	FALSE
5	3300000	16259	148	641	1933	22297	2610	"Hus"	2011-02-07	355	FALSE	FALSE	FALSE	FALSE
4	1995000	10847	106	165	1980	18820	2610	"Rakkehus"	2011-02-07	376	FALSE	FALSE	FALSE	TRUE
3	2065000	11414	99	716	1959	20858	2750	"Hus"	2011-02-09	418	FALSE	FALSE	FALSE	TRUE
5	2995000	16965	194	394	1900	15438	2720	"Hus"	2011-02-10	561	FALSE	FALSE	FALSE	FALSE
7	3150000	16755	183	923	1954	17213	2750	"Hus"	2011-02-10	386	FALSE	FALSE	FALSE	TRUE
5	2495000	13237	110	676	1967	22681	2750	"Hus"	2011-02-11	287	FALSE	FALSE	FALSE	TRUE
4	1875000	12289	86	244	1962	21802	2610	"Rakkehus"	2011-02-11	4	TRUE	TRUE	TRUE	TRUE
3	1798000	10352	82	495	1954	21926	2610	"Rakkehus"	2011-02-11	105	TRUE	TRUE	FALSE	TRUE
4	2495000	13841	96	580	1936	25989	2610	"Rakkehus"	2011-02-11	269	FALSE	FALSE	FALSE	FALSE
5	4650000	24897	141	811	1932	32978	2720	"Hus"	2011-02-13	8	TRUE	TRUE	TRUE	TRUE
5	3195000	17016	150	774	1968	21300	2750	"Hus"	2011-02-14	311	FALSE	FALSE	FALSE	TRUE
3	3495000	19708	96	455	1934	36406	2720	"Hus"	2011-02-16	89	TRUE	TRUE	TRUE	TRUE
4	3250000	17590	133	700	1979	24436	2750	"Hus"	2011-02-16	169	TRUE	TRUE	FALSE	TRUE
5	5675000	29927	147	788	1974	38605	2720	"Hus"	2011-02-17	147	TRUE	TRUE	FALSE	TRUE
3	2100000	11939	80	822	1958	26250	2610	"Hus"	2011-02-17	265	TRUE	FALSE	FALSE	TRUE
3	3695000	19855	137	765	1968	26970	2750	"Hus"	2011-02-18	38	TRUE	TRUE	TRUE	TRUE
4	2280000	11840	117	228	1968	19487	2610	"Rakkehus"	2011-02-19	180	FALSE	FALSE	FALSE	FALSE
7	6250000	33608	157	797	1921	39808	2720	"Hus"	2011-02-20	44	FALSE	FALSE	FALSE	FALSE
5	2795000	15531	108	876	1966	25879	2610	"Hus"	2011-02-22	146	FALSE	FALSE	FALSE	FALSE
4	2370000	13563	99	790	1961	23939	2750	"Hus"	2011-02-22	117	TRUE	TRUE	FALSE	TRUE
3	2595000	13849	152	612	1816	17072	2750	"Hus"	2011-02-22	125	FALSE	FALSE	FALSE	FALSE
6	3250000	17420	133	752	1928	24436	2720	"Hus"	2011-02-23	415	FALSE	FALSE	FALSE	FALSE
4	2840000	15107	93	304	1943	30537	2610	"Rakkehus"	2011-02-23	23	TRUE	TRUE	TRUE	TRUE
6	2698000	14083	171	508	1923	15777	2610	"Rakkehus"	2011-02-23	625	FALSE	FALSE	FALSE	FALSE
3	2195000	11704	87	666	1950	25229	2610	"Hus"	2011-02-24	337	FALSE	FALSE	FALSE	FALSE
5	2495000	13938	144	705	1971	17326	2750	"Hus"	2011-02-24	480	FALSE	FALSE	FALSE	TRUE
7	3795000	20700	140	935	1929	27107	2720	"Hus"	2011-02-26	359	FALSE	FALSE	FALSE	FALSE
4	2750000	14840	113	630	1936	24336	2610	"Hus"	2011-02-26	116	TRUE	TRUE	FALSE	TRUE
4	2775000	14625	114	869	1969	24342	2610	"Hus"	2011-02-26	308	FALSE	FALSE	FALSE	TRUE
4	2795000	15654	111	744	1962	25180	2750	"Hus"	2011-02-26	40	TRUE	TRUE	TRUE	TRUE
3	1850000	11331	81	764	1960	22839	2750	"Hus"	2011-02-26	46	TRUE	TRUE	TRUE	TRUE
3	1895000	11174	106	801	1956	17877	2750	"Hus"	2011-02-27	290	FALSE	FALSE	FALSE	TRUE
5	3495000	20300	125	934	1934	27960	2720	"Hus"	2011-02-28	18	TRUE	TRUE	TRUE	TRUE
4	3450000	18589	142	721	1969	24295	2750	"Hus"	2011-03-02	57	FALSE	FALSE	FALSE	FALSE
