"date";"dateno";"ntest";"pos"
2020-04-01;1;3521;282
2020-04-02;2;5721;382
2020-04-03;3;6565;473
2020-04-04;4;3665;312
2020-04-05;5;2169;158
2020-04-06;6;6481;424
2020-04-07;7;6296;347
2020-04-08;8;5553;301
2020-04-09;9;2486;140
2020-04-10;10;2273;142
2020-04-11;11;2164;140
2020-04-12;12;2083;157
2020-04-13;13;2075;156
2020-04-14;14;6079;258
2020-04-15;15;5506;199
2020-04-16;16;5210;178
2020-04-17;17;4682;168
2020-04-18;18;2211;106
2020-04-19;19;1804;114
2020-04-20;20;6527;215
2020-04-21;21;9642;202
2020-04-22;22;11446;229
2020-04-23;23;12311;232
2020-04-24;24;14656;165
2020-04-25;25;12330;136
2020-04-26;26;10210;121
2020-04-27;27;17177;219
2020-04-28;28;16118;136
2020-04-29;29;15905;140
2020-04-30;30;15791;149
2020-05-01;31;14322;152
2020-05-02;32;11070;117
2020-05-03;33;8906;78
2020-05-04;34;17670;124
2020-05-05;35;15862;123
2020-05-06;36;14364;107
2020-05-07;37;14249;123
2020-05-08;38;8272;69
2020-05-09;39;8177;66
2020-05-10;40;6628;60
2020-05-11;41;16277;79
2020-05-12;42;14654;58
2020-05-13;43;14578;71
2020-05-14;44;12883;64
2020-05-15;45;12526;91
2020-05-16;46;7650;35
2020-05-17;47;7041;50
2020-05-18;48;15108;82
2020-05-19;49;14782;63
2020-05-20;50;14289;72
2020-05-21;51;8426;31
2020-05-22;52;12203;73
2020-05-23;53;8740;36
2020-05-24;54;8605;36
2020-05-25;55;18166;52
2020-05-26;56;15879;63
2020-05-27;57;14665;52
2020-05-28;58;13019;39
2020-05-29;59;11664;46
2020-05-30;60;7112;33
2020-05-31;61;7566;22
2020-06-01;62;8663;36
2020-06-02;63;15423;56
2020-06-03;64;13264;53
2020-06-04;65;11762;41
2020-06-05;66;9587;35
2020-06-06;67;7907;15
2020-06-07;68;7709;14
2020-06-08;69;16741;46
2020-06-09;70;15583;28
2020-06-10;71;14879;40
2020-06-11;72;14539;49
2020-06-12;73;14792;60
2020-06-13;74;9972;27
2020-06-14;75;9007;22
2020-06-15;76;17619;40
2020-06-16;77;18120;46
2020-06-17;78;19135;76
2020-06-18;79;17434;46
2020-06-19;80;16908;44
2020-06-20;81;12058;38
2020-06-21;82;11351;33
2020-06-22;83;21344;46
2020-06-23;84;20813;19
2020-06-24;85;19993;45
2020-06-25;86;16745;32
2020-06-26;87;15658;23
2020-06-27;88;9437;19
2020-06-28;89;9412;11
2020-06-29;90;18635;30
2020-06-30;91;17814;24
2020-07-01;92;17517;12
2020-07-02;93;15290;15
2020-07-03;94;14253;18
2020-07-04;95;9620;13
2020-07-05;96;9704;11
2020-07-06;97;17758;9
2020-07-07;98;16443;13
2020-07-08;99;15794;26
2020-07-09;100;14286;41
2020-07-10;101;14122;34
2020-07-11;102;9604;24
2020-07-12;103;9093;22
2020-07-13;104;18197;33
2020-07-14;105;16664;34
2020-07-15;106;16262;42
2020-07-16;107;15098;52
2020-07-17;108;14220;32
2020-07-18;109;10630;43
2020-07-19;110;10892;28
2020-07-20;111;18134;32
2020-07-21;112;16611;37
2020-07-22;113;16561;35
2020-07-23;114;15720;54
2020-07-24;115;16028;37
2020-07-25;116;11679;27
2020-07-26;117;12761;24
2020-07-27;118;20641;64
2020-07-28;119;20295;78
2020-07-29;120;20111;65
2020-07-30;121;20442;84
2020-07-31;122;19823;58
2020-08-01;123;14267;64
2020-08-02;124;15655;78
2020-08-03;125;23748;118
2020-08-04;126;24841;122
2020-08-05;127;24710;118
2020-08-06;128;26711;174
2020-08-07;129;26943;143
2020-08-08;130;20695;90
2020-08-09;131;20844;130
2020-08-10;132;30816;155
2020-08-11;133;33401;136
2020-08-12;134;34592;161
2020-08-13;135;33660;116
2020-08-14;136;32399;112
2020-08-15;137;25134;127
2020-08-16;138;25491;90
2020-08-17;139;35417;96
2020-08-18;140;37761;114
2020-08-19;141;38915;87
2020-08-20;142;37846;87
2020-08-21;143;35554;88
2020-08-22;144;28465;89
2020-08-23;145;27419;75
2020-08-24;146;39126;75
2020-08-25;147;39610;83
2020-08-26;148;39875;80
2020-08-27;149;38444;71
2020-08-28;150;35253;109
2020-08-29;151;25060;89
2020-08-30;152;25147;104
2020-08-31;153;39438;121
2020-09-01;154;39079;201
2020-09-02;155;39833;159
2020-09-03;156;38619;194
2020-09-04;157;39930;205
2020-09-05;158;28813;198
2020-09-06;159;29566;224
2020-09-07;160;47640;297
2020-09-08;161;48125;329
2020-09-09;162;48616;294
2020-09-10;163;51861;371
2020-09-11;164;50305;348
2020-09-12;165;41530;302
2020-09-13;166;41648;296
2020-09-14;167;55484;383
2020-09-15;168;55897;439
2020-09-16;169;56323;559
2020-09-17;170;51747;517
2020-09-18;171;51186;477
2020-09-19;172;40157;421
2020-09-20;173;40714;411
2020-09-21;174;53861;538
2020-09-22;175;56252;592
2020-09-23;176;55259;654
2020-09-24;177;53511;607
2020-09-25;178;51201;488
2020-09-26;179;39697;394
2020-09-27;180;39308;357
2020-09-28;181;53611;484
2020-09-29;182;50417;451
2020-09-30;183;47559;438
2020-10-01;184;44140;433
2020-10-02;185;42748;368
2020-10-03;186;33696;339
2020-10-04;187;33651;313
2020-10-05;188;52246;433
2020-10-06;189;53203;431
2020-10-07;190;50012;452
2020-10-08;191;47682;425
2020-10-09;192;39347;414
2020-10-10;193;27223;286
2020-10-11;194;26523;256
2020-10-12;195;40237;467
2020-10-13;196;35883;436
2020-10-14;197;35726;480
2020-10-15;198;35091;458
2020-10-16;199;34382;477
2020-10-17;200;26876;433
2020-10-18;201;29984;457
2020-10-19;202;47853;705
2020-10-20;203;44221;792
2020-10-21;204;47037;864
2020-10-22;205;49108;880
2020-10-23;206;50154;866
2020-10-24;207;45452;823
2020-10-25;208;51518;926
2020-10-26;209;65589;1019
2020-10-27;210;72869;1259
2020-10-28;211;69876;1220
2020-10-29;212;67475;1023
2020-10-30;213;63517;1095
