"Hastighed"	"Doed"	"Airbag"	"Sikkerhedssele"	"Frontal"	"Koen"	"AlderEjer"	"Aarstal"	"AarBilmodel"	"AirbagFunktion"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"mand"	27	1997	1996	"ja"
"55+ km/t"	0	"nej"	"ikke spaendt"	"nej"	"mand"	37	2002	1979	"nej"
"40-54 km/t"	1	"ja"	"ikke spaendt"	"ja"	"kvinde"	76	2001	1992	"ja"
"25-39 km/t"	0	"nej"	"spaendt"	"nej"	"mand"	32	1998	1994	"nej"
"25-39 km/t"	0	"nej"	"ikke spaendt"	"nej"	"kvinde"	21	1999	1985	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"mand"	42	2002	2000	"ja"
"55+ km/t"	0	"nej"	"spaendt"	"nej"	"mand"	37	2000	1992	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"ja"	"kvinde"	31	2001	1999	"nej"
"25-39 km/t"	0	"ja"	"ikke spaendt"	"ja"	"mand"	20	2000	1999	"ja"
"40-54 km/t"	0	"nej"	"ikke spaendt"	"nej"	"mand"	44	2000	1986	"nej"
"10-24 km/t"	0	"nej"	"ikke spaendt"	"ja"	"mand"	53	1999	1988	"nej"
"40-54 km/t"	0	"ja"	"spaendt"	"nej"	"mand"	42	2001	1999	"nej"
"25-39 km/t"	0	"nej"	"spaendt"	"ja"	"mand"	39	2000	1990	"nej"
"10-24 km/t"	0	"nej"	"ikke spaendt"	"ja"	"mand"	22	1997	1985	"nej"
"25-39 km/t"	0	"ja"	"spaendt"	"ja"	"kvinde"	56	1999	1995	"nej"
"10-24 km/t"	0	"nej"	"spaendt"	"ja"	"mand"	61	2001	1988	"nej"
"10-24 km/t"	0	"nej"	"spaendt"	"nej"	"kvinde"	47	2001	1994	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"kvinde"	35	2002	1999	"ja"
"10-24 km/t"	0	"ja"	"spaendt"	"ja"	"mand"	44	2000	1993	"ja"
"25-39 km/t"	0	"nej"	"ikke spaendt"	"nej"	"mand"	62	1999	1988	"nej"
"10-24 km/t"	0	"ja"	"ikke spaendt"	"ja"	"kvinde"	32	1999	1997	"nej"
"25-39 km/t"	0	"ja"	"spaendt"	"ja"	"mand"	21	2000	1997	"ja"
"10-24 km/t"	0	"nej"	"ikke spaendt"	"ja"	"mand"	33	1999	1978	"nej"
"40-54 km/t"	0	"nej"	"spaendt"	"nej"	"kvinde"	68	2001	1987	"nej"
"25-39 km/t"	0	"ja"	"spaendt"	"nej"	"kvinde"	34	2002	1997	"ja"
"10-24 km/t"	0	"ja"	"spaendt"	"nej"	"kvinde"	24	2002	2001	"nej"
"10-24 km/t"	0	"ja"	"spaendt"	"ja"	"mand"	81	2001	1993	"nej"
