"tidspunkt"	"lufttryk"	"temperatur"	"luftfugtighed"
"01.01.2009 02:00:00"	996.62	-8.88	93.2
"01.01.2009 04:00:00"	996.99	-9.05	92.6
"01.01.2009 06:00:00"	997.71	-9.67	92.7
"01.01.2009 08:00:00"	999.17	-8.1	92.8
"01.01.2009 10:00:00"	1000.27	-7.04	91.6
"01.01.2009 12:00:00"	1000.3	-6.87	89.6
"01.01.2009 14:00:00"	999.81	-5.94	89.1
"01.01.2009 16:00:00"	999.94	-5.4	89.4
"01.01.2009 18:00:00"	1000.16	-5.25	89.1
"01.01.2009 20:00:00"	1000.22	-4.9	89.3
"01.01.2009 22:00:00"	1000	-4.5	90.4
"02.01.2009 00:00:00"	999.59	-4.54	93.2
"02.01.2009 02:00:00"	998.93	-4.29	94.5
"02.01.2009 04:00:00"	998.32	-4.58	95.2
"02.01.2009 06:00:00"	998	-4.43	96.2
"02.01.2009 08:00:00"	998.18	-4.33	94.8
"02.01.2009 10:00:00"	998.65	-3.93	92.3
"02.01.2009 12:00:00"	998.91	-3.12	90.1
"02.01.2009 14:00:00"	998.73	-2.56	87.8
"02.01.2009 16:00:00"	999.59	-2.76	89.6
"02.01.2009 18:00:00"	1000.74	-3.07	92.3
"02.01.2009 20:00:00"	1001.83	-3.3	92.8
"02.01.2009 22:00:00"	1002.39	-4.02	88.8
"03.01.2009 00:00:00"	1002.32	-4.71	90
"03.01.2009 02:00:00"	1002.27	-6.23	92.3
"03.01.2009 04:00:00"	1002.02	-6.21	91.8
"03.01.2009 06:00:00"	1001.29	-8.2	93.5
"03.01.2009 08:00:00"	1001.04	-9.28	91.2
"03.01.2009 10:00:00"	1000.67	-8.53	83.3
"03.01.2009 12:00:00"	999.02	-5.96	80.7
"03.01.2009 14:00:00"	997.53	-2.15	65.61
"03.01.2009 16:00:00"	996.25	-2.8	48.39
"03.01.2009 18:00:00"	995.48	-4.08	56.32
"03.01.2009 20:00:00"	994.94	-3.84	64.22
"03.01.2009 22:00:00"	994.06	-2.76	67.66
"04.01.2009 00:00:00"	992.93	-1.9	71.2
"04.01.2009 02:00:00"	991.76	-2.22	90.1
"04.01.2009 04:00:00"	990.83	-1.88	90
"04.01.2009 06:00:00"	989.99	-1.44	91.3
"04.01.2009 08:00:00"	989.92	-0.89	89.1
"04.01.2009 10:00:00"	989.86	-1.37	90.5
"04.01.2009 12:00:00"	988.94	-1.21	91.8
"04.01.2009 14:00:00"	987.57	-0.77	89.1
"04.01.2009 16:00:00"	986.69	-1.05	88.5
"04.01.2009 18:00:00"	986.15	-1.51	91.3
"04.01.2009 20:00:00"	985.68	-1.56	92.2
"04.01.2009 22:00:00"	985.43	-1.43	93.7
"05.01.2009 00:00:00"	985.07	-1.47	93
"05.01.2009 02:00:00"	984.82	-1.6	92.1
"05.01.2009 04:00:00"	985.47	-1.76	89
"05.01.2009 06:00:00"	985.97	-1.76	87.9
"05.01.2009 08:00:00"	987.67	-2.72	88.3
"05.01.2009 10:00:00"	989.23	-3.29	90.9
"05.01.2009 12:00:00"	990.42	-3.65	86.6
"05.01.2009 14:00:00"	991.08	-4.57	89.3
"05.01.2009 16:00:00"	992.67	-5.74	88.2
"05.01.2009 18:00:00"	994.25	-6.85	87.6
"05.01.2009 20:00:00"	995.62	-9.13	75
"05.01.2009 22:00:00"	996.99	-10.6	76.2
"06.01.2009 00:00:00"	997.6	-12.63	81.8
"06.01.2009 02:00:00"	997.96	-13.64	84.8
"06.01.2009 04:00:00"	998.24	-14.29	86.5
"06.01.2009 06:00:00"	998.22	-15.37	89.2
"06.01.2009 08:00:00"	998.34	-16.92	88.1
"06.01.2009 10:00:00"	998.46	-15.23	87.3
"06.01.2009 12:00:00"	997.79	-14.52	81.1
"06.01.2009 14:00:00"	996.32	-11.9	70.7
"06.01.2009 16:00:00"	996.25	-13.52	78.9
"06.01.2009 18:00:00"	995.91	-16.49	85.4
"06.01.2009 20:00:00"	995.54	-18.35	85.5
"06.01.2009 22:00:00"	995.23	-19.39	84.3
"07.01.2009 00:00:00"	994.51	-21.09	84.3
"07.01.2009 02:00:00"	993.87	-20.99	85.7
"07.01.2009 04:00:00"	993.36	-22.39	83.5
"07.01.2009 06:00:00"	992.37	-22.13	83.5
"07.01.2009 08:00:00"	992.18	-22.5	83.1
"07.01.2009 10:00:00"	992.45	-20.34	83.1
"07.01.2009 12:00:00"	992.05	-16.5	83.3
"07.01.2009 14:00:00"	991.58	-12.15	81.6
"07.01.2009 16:00:00"	992.21	-9.58	88.4
"07.01.2009 18:00:00"	993.53	-7.98	88.6
"07.01.2009 20:00:00"	995.07	-7.85	88.8
"07.01.2009 22:00:00"	997.11	-9.41	93.4
"08.01.2009 00:00:00"	998.53	-10.78	91.5
"08.01.2009 02:00:00"	1000.02	-11.64	92.3
"08.01.2009 04:00:00"	1001.46	-12.31	91
"08.01.2009 06:00:00"	1002.15	-11.4	90.6
"08.01.2009 08:00:00"	1003.33	-10.01	88.8
"08.01.2009 10:00:00"	1004.31	-8.07	85.2
"08.01.2009 12:00:00"	1004.33	-6.84	80
"08.01.2009 14:00:00"	1003.72	-4.73	79.3
"08.01.2009 16:00:00"	1003.52	-4.97	80.5
"08.01.2009 18:00:00"	1003.85	-8.65	92.4
"08.01.2009 20:00:00"	1004.01	-10.67	91.8
"08.01.2009 22:00:00"	1004.11	-12.1	91.2
"09.01.2009 00:00:00"	1003.66	-13.91	90.9
"09.01.2009 02:00:00"	1003.48	-15.15	89.7
"09.01.2009 04:00:00"	1003.25	-16.29	88.4
"09.01.2009 06:00:00"	1003.12	-16.64	87.4
